TransactionID,Date,CustomerID,ProductCategory,SalesAmount,Discount,Quantity,Region
TX0083,2026-03-05,C005,Clothing,176.22,0.22,2,North
TX0084,2026-02-09,C003,Toys,416.02,0.09,4,North
TX0085,2026-03-31,C003,Clothing,178.91,0.15,4,West
TX0086,2026-01-13,C004,Clothing,235.5,0.21,2,South
TX0087,2026-02-09,C002,Toys,43.99,0.25,2,South
TX0088,2026-03-16,C002,Home,179.83,0.02,4,North
TX0089,2026-01-29,C004,Electronics,102.4,0.05,1,North
TX0090,2026-03-02,C003,Clothing,93.74,0.03,3,North
TX0091,2026-03-20,C001,Books,99.82,0.15,1,South
TX0092,2026-01-22,C005,Electronics,79.17,0.11,2,North
TX0093,2026-03-17,C003,Electronics,223.51,0.0,2,South
TX0094,2026-02-05,C001,Home,47.5,0.13,3,South
TX0095,2026-01-04,C005,Books,72.05,0.01,3,East
TX0096,2026-01-14,C003,Home,396.09,0.3,3,East
TX0097,2026-03-30,C005,Electronics,222.07,0.04,1,West
TX0098,2026-01-08,C003,Electronics,367.64,0.01,1,West
TX0099,2026-01-25,C005,Books,123.37,0.05,2,East
TX0100,2026-01-07,C003,Clothing,,0.18,2,North
TX0101,2026-02-23,C001,Toys,333.76,0.26,2,West
TX0102,2026-01-12,C004,Clothing,184.79,0.14,5,West
TX0103,2026-03-21,C002,Books,328.27,0.13,1,North
TX0104,2026-03-27,C005,Electronics,281.69,0.07,2,East
TX0105,2026-01-15,C003,Clothing,417.95,0.01,3,North
TX0106,2026-01-09,C005,Books,87.79,0.24,5,West
TX0107,2026-02-07,C005,Electronics,466.48,0.1,3,West
TX0108,2026-02-10,C005,Home,28.17,0.29,1,North
TX0109,2026-03-17,C004,Electronics,373.3,0.06,3,West
TX0110,2026-03-15,C003,Books,173.64,0.15,3,East
TX0111,2026-02-13,C003,Home,366.19,0.08,1,West
TX0112,2026-01-12,C003,Books,450.3,0.28,5,West
TX0113,2026-01-29,C003,Clothing,70.83,0.02,5,North
TX0114,2026-03-19,C004,Electronics,81.45,0.07,4,East
TX0115,2026-02-27,C002,Home,278.98,0.03,3,North
TX0116,2026-03-24,C003,Books,144.02,0.22,5,East
TX0117,2026-03-13,C004,Books,233.69,0.21,5,North
TX0118,2026-01-30,C001,Books,104.29,0.0,2,North
TX0119,2026-02-11,C002,Clothing,489.38,0.2,2,South
TX0120,2026-01-18,C004,Books,11.52,0.08,3,South
TX0121,2026-02-21,C004,Home,390.75,0.15,1,West
TX0122,2026-02-13,C005,Electronics,52.59,0.22,4,West
TX0123,2026-03-12,C001,Clothing,235.47,0.21,3,West
TX0124,2026-01-09,C002,Books,394.03,0.08,5,West
TX0125,2026-01-25,C001,Electronics,136.76,0.08,1,North
TX0126,2026-02-15,C002,Clothing,237.32,0.11,4,North
TX0127,2026-03-16,C005,Electronics,210.7,0.21,5,West
TX0128,2026-01-23,C002,Electronics,324.65,0.19,3,South
TX0129,2026-01-14,C001,Toys,78.56,0.26,3,North
TX0130,2026-02-09,C004,Clothing,217.12,0.16,3,South
TX0131,2026-01-07,C003,Clothing,425.3,0.28,1,South
TX0132,2026-02-09,C004,Clothing,407.98,0.09,5,North
TX0133,2026-02-07,C003,Electronics,186.44,0.17,1,South
TX0134,2026-01-25,C002,Electronics,245.93,0.0,2,West
TX0135,2026-01-22,C003,Home,489.01,0.21,1,West
TX0136,2026-03-13,C001,Home,124.36,0.08,1,East
TX0137,2026-03-14,C001,Electronics,29.66,0.08,5,East
TX0138,2026-03-21,C001,Toys,269.94,0.13,2,East
TX0139,2026-01-14,C005,Electronics,432.72,0.02,2,South
TX0140,2026-01-03,C004,Home,96.12,0.26,1,West
TX0141,2026-01-26,C004,Books,492.23,0.23,1,North
TX0142,2026-01-23,C001,Home,,0.16,2,West
TX0143,2026-03-10,C001,Clothing,188.81,0.06,4,South
TX0144,2026-01-14,C002,Toys,64.7,0.27,5,South
TX0145,2026-02-24,C005,Toys,351.13,0.29,3,South
TX0146,2026-03-18,C004,Books,234.86,0.06,2,East
TX0147,2026-03-09,C002,Electronics,71.77,0.09,1,South
TX0148,2026-01-17,C001,Books,79.66,0.26,4,South
TX0149,2026-03-03,C005,Electronics,412.1,0.3,2,North
TX0150,2026-02-22,C002,Electronics,276.88,0.13,2,East
